geneSet	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	cell_line	cantype	comb
ENSG00000254951	-0.73466388287444	-2.10756924357446	0	0	HT1376_URINARY_TRACT	BLCA	ENSG00000254951.HT1376_URINARY_TRACT
ENSG00000248429	-0.668889072104872	-1.93428658378944	0	0	JMSU1_URINARY_TRACT	BLCA	ENSG00000248429.JMSU1_URINARY_TRACT
ENSG00000254951	-0.692917414816532	-2.08691963859193	0	0	JMSU1_URINARY_TRACT	BLCA	ENSG00000254951.JMSU1_URINARY_TRACT
ENSG00000225511	-0.605973897627474	-1.91798357188265	0	0	KU1919_URINARY_TRACT	BLCA	ENSG00000225511.KU1919_URINARY_TRACT
ENSG00000248429	-0.689162985096509	-2.10212510955795	0	0	KU1919_URINARY_TRACT	BLCA	ENSG00000248429.KU1919_URINARY_TRACT
ENSG00000254951	-0.696933467405608	-2.18508132807179	0	0	KU1919_URINARY_TRACT	BLCA	ENSG00000254951.KU1919_URINARY_TRACT
ENSG00000272081	-0.637388938985092	-1.80759698905306	0	0.000215488215488215	KU1919_URINARY_TRACT	BLCA	ENSG00000272081.KU1919_URINARY_TRACT
ENSG00000237886	-0.553290281087813	-1.80967559516677	0	0.000269360269360269	KU1919_URINARY_TRACT	BLCA	ENSG00000237886.KU1919_URINARY_TRACT
ENSG00000225511	-0.62890030436984	-1.8995723528815	0	0	RT112_URINARY_TRACT	BLCA	ENSG00000225511.RT112_URINARY_TRACT
ENSG00000248429	-0.748220753322459	-2.22931387206042	0	0	RT112_URINARY_TRACT	BLCA	ENSG00000248429.RT112_URINARY_TRACT
ENSG00000254951	-0.738898334520667	-2.23325484452059	0	0	RT112_URINARY_TRACT	BLCA	ENSG00000254951.RT112_URINARY_TRACT
ENSG00000237886	-0.61719039633225	-1.8935629307435	0	0.000249854251686516	RT112_URINARY_TRACT	BLCA	ENSG00000237886.RT112_URINARY_TRACT
ENSG00000272081	-0.640028644798758	-1.79873472022446	0.001051524709725	0.000399766802698426	RT112_URINARY_TRACT	BLCA	ENSG00000272081.RT112_URINARY_TRACT
ENSG00000254951	-0.707748731009697	-2.0800913844832	0	0	SW780_URINARY_TRACT	BLCA	ENSG00000254951.SW780_URINARY_TRACT
ENSG00000248429	-0.740956946136061	-2.12973552446957	0	0	SW780_URINARY_TRACT	BLCA	ENSG00000248429.SW780_URINARY_TRACT
ENSG00000225511	-0.623628246891009	-1.82438017710777	0	0.000355476560764275	SW780_URINARY_TRACT	BLCA	ENSG00000225511.SW780_URINARY_TRACT
ENSG00000248429	-0.694523702303302	-1.96957389779641	0	0	T24_URINARY_TRACT	BLCA	ENSG00000248429.T24_URINARY_TRACT
ENSG00000254951	-0.730435366453764	-2.12211397667973	0	0	T24_URINARY_TRACT	BLCA	ENSG00000254951.T24_URINARY_TRACT
ENSG00000225511	-0.55681547524921	-2.00444803242253	0	0	TCCSUP_URINARY_TRACT	BLCA	ENSG00000225511.TCCSUP_URINARY_TRACT
ENSG00000248429	-0.641153418571495	-2.21837732135118	0	0	TCCSUP_URINARY_TRACT	BLCA	ENSG00000248429.TCCSUP_URINARY_TRACT
ENSG00000254951	-0.636748678484289	-2.30829793892436	0	0	TCCSUP_URINARY_TRACT	BLCA	ENSG00000254951.TCCSUP_URINARY_TRACT
ENSG00000237886	-0.50661252192126	-1.86733244266022	0	0.000197772905112	TCCSUP_URINARY_TRACT	BLCA	ENSG00000237886.TCCSUP_URINARY_TRACT
ENSG00000268460	-0.774633032848594	-1.89836383239522	0.00142857142653061	0.00024721613139	TCCSUP_URINARY_TRACT	BLCA	ENSG00000268460.TCCSUP_URINARY_TRACT
ENSG00000237886	-0.633869076868035	-1.83788937050081	0	0	UBLC1_URINARY_TRACT	BLCA	ENSG00000237886.UBLC1_URINARY_TRACT
ENSG00000248429	-0.72416649688304	-1.97437822615952	0	0	UBLC1_URINARY_TRACT	BLCA	ENSG00000248429.UBLC1_URINARY_TRACT
ENSG00000254951	-0.727827662962681	-2.06921052472987	0	0	UBLC1_URINARY_TRACT	BLCA	ENSG00000254951.UBLC1_URINARY_TRACT
ENSG00000225511	-0.627254807385225	-1.77607317424757	0	0.000254469817666844	UBLC1_URINARY_TRACT	BLCA	ENSG00000225511.UBLC1_URINARY_TRACT
ENSG00000272081	-0.663744776946616	-1.72691608677587	0	0.000610727562400425	UBLC1_URINARY_TRACT	BLCA	ENSG00000272081.UBLC1_URINARY_TRACT
ENSG00000272081	-0.685474488957048	-1.76455349253486	0	0	UMUC3_URINARY_TRACT	BLCA	ENSG00000272081.UMUC3_URINARY_TRACT
ENSG00000225511	-0.670093287877836	-1.82350958751285	0	0	UMUC3_URINARY_TRACT	BLCA	ENSG00000225511.UMUC3_URINARY_TRACT
ENSG00000248429	-0.735861824528151	-1.98135273502295	0	0	UMUC3_URINARY_TRACT	BLCA	ENSG00000248429.UMUC3_URINARY_TRACT
ENSG00000254951	-0.77097667929746	-2.10107732725697	0	0	UMUC3_URINARY_TRACT	BLCA	ENSG00000254951.UMUC3_URINARY_TRACT
ENSG00000224818	-0.511008565753454	-1.93722099461691	0	0	184A1_BREAST	BRCA	ENSG00000224818.184A1_BREAST
ENSG00000268355	-0.483015445685821	-1.84309008167364	0	0.000172773846546777	184A1_BREAST	BRCA	ENSG00000268355.184A1_BREAST
ENSG00000268460	-0.591396748565456	-1.85801469452538	0	0.000207328615856132	184A1_BREAST	BRCA	ENSG00000268460.184A1_BREAST
ENSG00000253878	-0.494720866608565	-1.87821224028133	0	0.000259160769820165	184A1_BREAST	BRCA	ENSG00000253878.184A1_BREAST
ENSG00000246640	-0.475809028650012	-1.81531147574991	0	0.000296183736937331	184A1_BREAST	BRCA	ENSG00000246640.184A1_BREAST
ENSG00000270605	-0.459747259470417	-1.74268981707649	0	0.000345547693093553	184A1_BREAST	BRCA	ENSG00000270605.184A1_BREAST
ENSG00000225511	-0.494391913599449	-1.87979804943708	0	0.000345547693093553	184A1_BREAST	BRCA	ENSG00000225511.184A1_BREAST
ENSG00000248429	-0.458543257709886	-1.75128123941428	0	0.000388741154730247	184A1_BREAST	BRCA	ENSG00000248429.184A1_BREAST
ENSG00000234546	-0.496351235890741	-1.88072386488693	0	0.00051832153964033	184A1_BREAST	BRCA	ENSG00000234546.184A1_BREAST
ENSG00000224592	-0.576477783265084	-1.66988373570991	0.00130378096309807	0.00051832153964033	184A1_BREAST	BRCA	ENSG00000224592.184A1_BREAST
ENSG00000226965	-0.440055984291126	-1.67295938300084	0	0.000565441679607633	184A1_BREAST	BRCA	ENSG00000226965.184A1_BREAST
ENSG00000237886	-0.442763741209542	-1.68601887593879	0	0.000621985847568396	184A1_BREAST	BRCA	ENSG00000237886.184A1_BREAST
ENSG00000230098	-0.429337450406376	-1.62651846393235	0	0.000956901303951378	184A1_BREAST	BRCA	ENSG00000230098.184A1_BREAST
ENSG00000224818	-0.531601061981268	-1.8677776476154	0	0	600MPE_BREAST	BRCA	ENSG00000224818.600MPE_BREAST
ENSG00000224592	-0.653941188999936	-1.89436888611397	0	0	600MPE_BREAST	BRCA	ENSG00000224592.600MPE_BREAST
ENSG00000268460	-0.683270569358234	-2.10618498027303	0	0	600MPE_BREAST	BRCA	ENSG00000268460.600MPE_BREAST
ENSG00000234546	-0.500565199358384	-1.75527592312384	0	0.000256914346990751	600MPE_BREAST	BRCA	ENSG00000234546.600MPE_BREAST
ENSG00000246640	-0.504718602034345	-1.78162373764708	0	0.000293616396560858	600MPE_BREAST	BRCA	ENSG00000246640.600MPE_BREAST
ENSG00000248429	-0.488641165443887	-1.72368761526953	0	0.000308297216388901	600MPE_BREAST	BRCA	ENSG00000248429.600MPE_BREAST
ENSG00000225511	-0.506039890204677	-1.7830790896863	0	0.000342552462654335	600MPE_BREAST	BRCA	ENSG00000225511.600MPE_BREAST
ENSG00000258602	-0.836322482414467	-1.72473510059754	0.00144717800080003	0.000342552462654335	600MPE_BREAST	BRCA	ENSG00000258602.600MPE_BREAST
ENSG00000253878	-0.510837421628149	-1.78681660012331	0	0.000411062955185202	600MPE_BREAST	BRCA	ENSG00000253878.600MPE_BREAST
ENSG00000268355	-0.508351978748705	-1.79282012757343	0	0.000513828693981502	600MPE_BREAST	BRCA	ENSG00000268355.600MPE_BREAST
ENSG00000268460	-0.618219612365855	-1.83073943977076	0	0.000339053010201073	AU565_BREAST	BRCA	ENSG00000268460.AU565_BREAST
ENSG00000246640	-0.503319024120139	-1.68788197372735	0	0.000435925298829951	AU565_BREAST	BRCA	ENSG00000246640.AU565_BREAST
ENSG00000268355	-0.507679983973462	-1.70240582814483	0	0.00050857951530161	AU565_BREAST	BRCA	ENSG00000268355.AU565_BREAST
ENSG00000224818	-0.547475160844235	-1.83270619930996	0	0.00050857951530161	AU565_BREAST	BRCA	ENSG00000224818.AU565_BREAST
ENSG00000234546	-0.511190399840568	-1.70844339435669	0	0.000610295418361932	AU565_BREAST	BRCA	ENSG00000234546.AU565_BREAST
ENSG00000225511	-0.513445922439618	-1.72118438901894	0	0.000762869272952415	AU565_BREAST	BRCA	ENSG00000225511.AU565_BREAST
ENSG00000248429	-0.490330499954569	-1.64688241980106	0	0.000890014151777817	AU565_BREAST	BRCA	ENSG00000248429.AU565_BREAST
ENSG00000253878	-0.492817659568408	-1.64127941806864	0	0.000904141360536195	AU565_BREAST	BRCA	ENSG00000253878.AU565_BREAST
ENSG00000248429	-0.535196130435111	-1.74256429660384	0	0	BT20_BREAST	BRCA	ENSG00000248429.BT20_BREAST
ENSG00000246640	-0.557475753004055	-1.80866599107801	0	0	BT20_BREAST	BRCA	ENSG00000246640.BT20_BREAST
ENSG00000253878	-0.561596288041639	-1.81029516802225	0	0	BT20_BREAST	BRCA	ENSG00000253878.BT20_BREAST
ENSG00000268355	-0.558035862469032	-1.81500037136294	0	0	BT20_BREAST	BRCA	ENSG00000268355.BT20_BREAST
ENSG00000225511	-0.563471754106385	-1.82412691548983	0	0	BT20_BREAST	BRCA	ENSG00000225511.BT20_BREAST
ENSG00000234546	-0.569190194875377	-1.84641094546964	0	0	BT20_BREAST	BRCA	ENSG00000234546.BT20_BREAST
ENSG00000224818	-0.579209064154558	-1.87475950211721	0	0	BT20_BREAST	BRCA	ENSG00000224818.BT20_BREAST
ENSG00000268460	-0.665325832242583	-1.9410885074768	0	0	BT20_BREAST	BRCA	ENSG00000268460.BT20_BREAST
ENSG00000226965	-0.521268370494441	-1.68975027734179	0	0.000454806114176109	BT20_BREAST	BRCA	ENSG00000226965.BT20_BREAST
ENSG00000224592	-0.618339454134754	-1.66927395495266	0.00227014755701459	0.000613988254137747	BT20_BREAST	BRCA	ENSG00000224592.BT20_BREAST
ENSG00000270605	-0.508109572080694	-1.63408684405723	0	0.000744228186833633	BT20_BREAST	BRCA	ENSG00000270605.BT20_BREAST
ENSG00000234546	-0.581262001181769	-1.80769326675709	0	0	BT474_BREAST	BRCA	ENSG00000234546.BT474_BREAST
ENSG00000246640	-0.58814339964367	-1.84123138907162	0	0	BT474_BREAST	BRCA	ENSG00000246640.BT474_BREAST
ENSG00000268355	-0.587448703069669	-1.84175851052683	0	0	BT474_BREAST	BRCA	ENSG00000268355.BT474_BREAST
ENSG00000224818	-0.594058389987052	-1.85067859893243	0	0	BT474_BREAST	BRCA	ENSG00000224818.BT474_BREAST
ENSG00000225511	-0.594012910013447	-1.85524028389269	0	0	BT474_BREAST	BRCA	ENSG00000225511.BT474_BREAST
ENSG00000253878	-0.60175489675743	-1.88042272695241	0	0	BT474_BREAST	BRCA	ENSG00000253878.BT474_BREAST
ENSG00000224592	-0.72264483785344	-1.89205222874373	0	0	BT474_BREAST	BRCA	ENSG00000224592.BT474_BREAST
ENSG00000268460	-0.726937274453845	-2.02449652686379	0	0	BT474_BREAST	BRCA	ENSG00000268460.BT474_BREAST
ENSG00000248429	-0.56837552783688	-1.78363506422542	0	0.000113838280349038	BT474_BREAST	BRCA	ENSG00000248429.BT474_BREAST
ENSG00000226965	-0.544562159909217	-1.70324440256352	0	0.000204908904628269	BT474_BREAST	BRCA	ENSG00000226965.BT474_BREAST
ENSG00000253878	-0.540275560199049	-1.73195928616176	0	0	BT483_BREAST	BRCA	ENSG00000253878.BT483_BREAST
ENSG00000268355	-0.541514415053737	-1.74588075706522	0	0	BT483_BREAST	BRCA	ENSG00000268355.BT483_BREAST
ENSG00000234546	-0.545791933427797	-1.75677062477652	0	0	BT483_BREAST	BRCA	ENSG00000234546.BT483_BREAST
ENSG00000246640	-0.547325208967881	-1.76770326971408	0	0	BT483_BREAST	BRCA	ENSG00000246640.BT483_BREAST
ENSG00000225511	-0.548290576144791	-1.77282719666504	0	0	BT483_BREAST	BRCA	ENSG00000225511.BT483_BREAST
ENSG00000224818	-0.556496751814236	-1.79172122190639	0	0	BT483_BREAST	BRCA	ENSG00000224818.BT483_BREAST
ENSG00000224592	-0.661399416069112	-1.79830496306793	0	0	BT483_BREAST	BRCA	ENSG00000224592.BT483_BREAST
ENSG00000268460	-0.66302043119745	-1.91708403931378	0	0	BT483_BREAST	BRCA	ENSG00000268460.BT483_BREAST
ENSG00000248429	-0.525154068246678	-1.69723292153332	0	0.000227413175132864	BT483_BREAST	BRCA	ENSG00000248429.BT483_BREAST
ENSG00000226965	-0.512117072279466	-1.65160111741965	0	0.000511679644048943	BT483_BREAST	BRCA	ENSG00000226965.BT483_BREAST
ENSG00000253878	-0.521699768283484	-1.78199773201573	0	0	BT549_BREAST	BRCA	ENSG00000253878.BT549_BREAST
ENSG00000224592	-0.646019271610839	-1.78830823600374	0	0	BT549_BREAST	BRCA	ENSG00000224592.BT549_BREAST
ENSG00000225511	-0.522123005813609	-1.79142853244408	0	0	BT549_BREAST	BRCA	ENSG00000225511.BT549_BREAST
ENSG00000246640	-0.523740994118868	-1.79824252892481	0	0	BT549_BREAST	BRCA	ENSG00000246640.BT549_BREAST
ENSG00000268355	-0.529349094123494	-1.81421651450621	0	0	BT549_BREAST	BRCA	ENSG00000268355.BT549_BREAST
ENSG00000234546	-0.543474958406524	-1.86500455246759	0	0	BT549_BREAST	BRCA	ENSG00000234546.BT549_BREAST
ENSG00000268460	-0.64510816136706	-1.94704601628029	0	0	BT549_BREAST	BRCA	ENSG00000268460.BT549_BREAST
ENSG00000224818	-0.568599799803383	-1.95097446992577	0	0	BT549_BREAST	BRCA	ENSG00000224818.BT549_BREAST
ENSG00000248429	-0.505542536837835	-1.73544973187551	0	0.000114712072697529	BT549_BREAST	BRCA	ENSG00000248429.BT549_BREAST
ENSG00000270605	-0.498183174899781	-1.69982877065867	0	0.000516204327138881	BT549_BREAST	BRCA	ENSG00000270605.BT549_BREAST
ENSG00000268460	-0.667447321060152	-2.09450117466761	0	0	CAL120_BREAST	BRCA	ENSG00000268460.CAL120_BREAST
ENSG00000268355	-0.479210293775987	-1.76813974519643	0	0.000293865869395786	CAL120_BREAST	BRCA	ENSG00000268355.CAL120_BREAST
ENSG00000246640	-0.480013206784812	-1.77231372700337	0	0.000342843514295084	CAL120_BREAST	BRCA	ENSG00000246640.CAL120_BREAST
ENSG00000224592	-0.598288356125071	-1.7280904199637	0.00240096038127136	0.000385698953581969	CAL120_BREAST	BRCA	ENSG00000224592.CAL120_BREAST
ENSG00000234546	-0.490672097872906	-1.80807791757353	0	0.000411412217154101	CAL120_BREAST	BRCA	ENSG00000234546.CAL120_BREAST
ENSG00000248429	-0.461473853371219	-1.70337324853421	0	0.000457124685726779	CAL120_BREAST	BRCA	ENSG00000248429.CAL120_BREAST
ENSG00000225511	-0.495034426412578	-1.82574863577779	0	0.000514265271442626	CAL120_BREAST	BRCA	ENSG00000225511.CAL120_BREAST
ENSG00000224818	-0.509453450273741	-1.87628613668678	0	0.000514265271442626	CAL120_BREAST	BRCA	ENSG00000224818.CAL120_BREAST
ENSG00000253878	-0.496445758324259	-1.82909454532544	0	0.000685687028590168	CAL120_BREAST	BRCA	ENSG00000253878.CAL120_BREAST
ENSG00000226965	-0.452909445141914	-1.66871857647263	0	0.000719971380019676	CAL120_BREAST	BRCA	ENSG00000226965.CAL120_BREAST
ENSG00000268355	-0.591583997838321	-1.78878618975367	0	0	CAL51_BREAST	BRCA	ENSG00000268355.CAL51_BREAST
ENSG00000268460	-0.696732276025902	-1.89994951842718	0	0	CAL51_BREAST	BRCA	ENSG00000268460.CAL51_BREAST
ENSG00000246640	-0.579268030596531	-1.75305763539404	0	0.000139397549137636	CAL51_BREAST	BRCA	ENSG00000246640.CAL51_BREAST
ENSG00000234546	-0.590161357877976	-1.77396414489698	0	0.000162630473993909	CAL51_BREAST	BRCA	ENSG00000234546.CAL51_BREAST
ENSG00000225511	-0.587970347515165	-1.77405039272515	0	0.000195156568792691	CAL51_BREAST	BRCA	ENSG00000225511.CAL51_BREAST
ENSG00000248429	-0.568105266281706	-1.72166736223582	0	0.000243945710990863	CAL51_BREAST	BRCA	ENSG00000248429.CAL51_BREAST
ENSG00000224818	-0.590715858638503	-1.77532220716077	0	0.000243945710990863	CAL51_BREAST	BRCA	ENSG00000224818.CAL51_BREAST
ENSG00000253878	-0.590201315156484	-1.77773316841372	0	0.000325260947987818	CAL51_BREAST	BRCA	ENSG00000253878.CAL51_BREAST
ENSG00000224592	-0.631198138990835	-1.65774328195415	0.00328587075215129	0.000758942211971574	CAL51_BREAST	BRCA	ENSG00000224592.CAL51_BREAST
ENSG00000248429	-0.547267216829834	-1.69284462749444	0	0	CAL851_BREAST	BRCA	ENSG00000248429.CAL851_BREAST
ENSG00000268355	-0.561790428174161	-1.73811109060312	0	0	CAL851_BREAST	BRCA	ENSG00000268355.CAL851_BREAST
ENSG00000246640	-0.575141314452643	-1.77934930712801	0	0	CAL851_BREAST	BRCA	ENSG00000246640.CAL851_BREAST
ENSG00000268460	-0.649246121734985	-1.80458679394222	0	0	CAL851_BREAST	BRCA	ENSG00000268460.CAL851_BREAST
ENSG00000225511	-0.585462208610823	-1.80791877511047	0	0	CAL851_BREAST	BRCA	ENSG00000225511.CAL851_BREAST
ENSG00000253878	-0.595606350400455	-1.82607603275689	0	0	CAL851_BREAST	BRCA	ENSG00000253878.CAL851_BREAST
ENSG00000234546	-0.595085542491717	-1.8322903714851	0	0	CAL851_BREAST	BRCA	ENSG00000234546.CAL851_BREAST
ENSG00000224818	-0.606711060158665	-1.87232644602775	0	0	CAL851_BREAST	BRCA	ENSG00000224818.CAL851_BREAST
ENSG00000224592	-0.726454441798775	-1.89525697637483	0	0	CAL851_BREAST	BRCA	ENSG00000224592.CAL851_BREAST
ENSG00000226965	-0.539941110712742	-1.66461546334168	0	0.00020510076689852	CAL851_BREAST	BRCA	ENSG00000226965.CAL851_BREAST
ENSG00000270605	-0.537213244698356	-1.65084393809346	0	0.000372910485270036	CAL851_BREAST	BRCA	ENSG00000270605.CAL851_BREAST
ENSG00000230098	-0.52417734168229	-1.61069205919248	0	0.000478568456096546	CAL851_BREAST	BRCA	ENSG00000230098.CAL851_BREAST
ENSG00000249306	-0.521725163665844	-1.61070865838039	0	0.000512751917246299	CAL851_BREAST	BRCA	ENSG00000249306.CAL851_BREAST
ENSG00000182165	-0.521760913898697	-1.61184020215816	0	0.000552194372419092	CAL851_BREAST	BRCA	ENSG00000182165.CAL851_BREAST
ENSG00000237886	-0.522420604198121	-1.61200702952501	0	0.000598210570120682	CAL851_BREAST	BRCA	ENSG00000237886.CAL851_BREAST
ENSG00000268355	-0.549425665140101	-1.88325715528465	0	0	CAMA1_BREAST	BRCA	ENSG00000268355.CAMA1_BREAST
ENSG00000268460	-0.644413994908261	-1.93058534816147	0	0	CAMA1_BREAST	BRCA	ENSG00000268460.CAMA1_BREAST
ENSG00000246640	-0.564510735112477	-1.9380198477389	0	0	CAMA1_BREAST	BRCA	ENSG00000246640.CAMA1_BREAST
ENSG00000225511	-0.567794337757856	-1.94162399990026	0	0	CAMA1_BREAST	BRCA	ENSG00000225511.CAMA1_BREAST
ENSG00000234546	-0.569241028936581	-1.9447459071788	0	0	CAMA1_BREAST	BRCA	ENSG00000234546.CAMA1_BREAST
ENSG00000253878	-0.575777086877444	-1.95913904983895	0	0	CAMA1_BREAST	BRCA	ENSG00000253878.CAMA1_BREAST
ENSG00000224818	-0.584653169529059	-1.99600764768742	0	0	CAMA1_BREAST	BRCA	ENSG00000224818.CAMA1_BREAST
ENSG00000224592	-0.718471093476834	-2.01208451255755	0	0	CAMA1_BREAST	BRCA	ENSG00000224592.CAMA1_BREAST
ENSG00000226965	-0.516601346687767	-1.76651493671031	0	0.000102390597872056	CAMA1_BREAST	BRCA	ENSG00000226965.CAMA1_BREAST
ENSG00000248429	-0.523305977874719	-1.79786824071555	0	0.000113767330968951	CAMA1_BREAST	BRCA	ENSG00000248429.CAMA1_BREAST
ENSG00000270605	-0.510957913779019	-1.73788177812428	0	0.000279247085105608	CAMA1_BREAST	BRCA	ENSG00000270605.CAMA1_BREAST
ENSG00000182165	-0.491804040109982	-1.6856374174199	0	0.000708857985268082	CAMA1_BREAST	BRCA	ENSG00000182165.CAMA1_BREAST
ENSG00000230098	-0.495625761252597	-1.69088079393721	0	0.000767929484040422	CAMA1_BREAST	BRCA	ENSG00000230098.CAMA1_BREAST
ENSG00000249306	-0.487283029098499	-1.66698821025083	0	0.000887385181557821	CAMA1_BREAST	BRCA	ENSG00000249306.CAMA1_BREAST
ENSG00000237886	-0.488981164211531	-1.67072351022349	0	0.00095076983738338	CAMA1_BREAST	BRCA	ENSG00000237886.CAMA1_BREAST
ENSG00000204666	-0.489841468419442	-1.62479940008059	0	0.000959911855050527	CAMA1_BREAST	BRCA	ENSG00000204666.CAMA1_BREAST
ENSG00000268460	-0.653026123598272	-2.05152514804695	0	0	DU4475_BREAST	BRCA	ENSG00000268460.DU4475_BREAST
ENSG00000234546	-0.500752718629385	-1.81570864996386	0	0.000206398348813209	DU4475_BREAST	BRCA	ENSG00000234546.DU4475_BREAST
ENSG00000225511	-0.506451454556764	-1.83484732937017	0	0.000257997936016512	DU4475_BREAST	BRCA	ENSG00000225511.DU4475_BREAST
ENSG00000253878	-0.511805435107554	-1.85366271646787	0	0.000343997248022016	DU4475_BREAST	BRCA	ENSG00000253878.DU4475_BREAST
ENSG00000268355	-0.487402540723607	-1.77131541800645	0	0.000442282176028306	DU4475_BREAST	BRCA	ENSG00000268355.DU4475_BREAST
ENSG00000246640	-0.48854350392487	-1.77307920496694	0	0.000515995872033024	DU4475_BREAST	BRCA	ENSG00000246640.DU4475_BREAST
ENSG00000224818	-0.518377152417359	-1.88034333227593	0	0.000515995872033024	DU4475_BREAST	BRCA	ENSG00000224818.DU4475_BREAST
ENSG00000224592	-0.600204732277882	-1.74594466892659	0.00125313283050986	0.000515995872033024	DU4475_BREAST	BRCA	ENSG00000224592.DU4475_BREAST
ENSG00000248429	-0.46620965197272	-1.69775333797185	0	0.000917325994725376	DU4475_BREAST	BRCA	ENSG00000248429.DU4475_BREAST
ENSG00000248429	-0.540233563548287	-1.78505983197712	0	0	EFM192A_BREAST	BRCA	ENSG00000248429.EFM192A_BREAST
ENSG00000234546	-0.561714551605358	-1.84194857246468	0	0	EFM192A_BREAST	BRCA	ENSG00000234546.EFM192A_BREAST
ENSG00000268355	-0.566221546185121	-1.86828264249414	0	0	EFM192A_BREAST	BRCA	ENSG00000268355.EFM192A_BREAST
ENSG00000246640	-0.568128639983049	-1.87348995650439	0	0	EFM192A_BREAST	BRCA	ENSG00000246640.EFM192A_BREAST
ENSG00000225511	-0.57429760633279	-1.89069039592906	0	0	EFM192A_BREAST	BRCA	ENSG00000225511.EFM192A_BREAST
ENSG00000224818	-0.57860331102011	-1.90123627709451	0	0	EFM192A_BREAST	BRCA	ENSG00000224818.EFM192A_BREAST
ENSG00000253878	-0.583388101338739	-1.90901859179922	0	0	EFM192A_BREAST	BRCA	ENSG00000253878.EFM192A_BREAST
ENSG00000224592	-0.73128767325967	-2.00398442957592	0	0	EFM192A_BREAST	BRCA	ENSG00000224592.EFM192A_BREAST
ENSG00000268460	-0.682509355876561	-2.0040703841576	0	0	EFM192A_BREAST	BRCA	ENSG00000268460.EFM192A_BREAST
ENSG00000226965	-0.50946228902515	-1.67396761454279	0	0.000818068646629913	EFM192A_BREAST	BRCA	ENSG00000226965.EFM192A_BREAST
ENSG00000253878	-0.558246127253054	-1.73697829089608	0	0	EFM19_BREAST	BRCA	ENSG00000253878.EFM19_BREAST
ENSG00000234546	-0.562777230318351	-1.75624851055297	0	0	EFM19_BREAST	BRCA	ENSG00000234546.EFM19_BREAST
ENSG00000248429	-0.563084355289088	-1.76458113494052	0	0	EFM19_BREAST	BRCA	ENSG00000248429.EFM19_BREAST
ENSG00000246640	-0.573860699937906	-1.79524085180155	0	0	EFM19_BREAST	BRCA	ENSG00000246640.EFM19_BREAST
ENSG00000225511	-0.575638674960447	-1.79879380003717	0	0	EFM19_BREAST	BRCA	ENSG00000225511.EFM19_BREAST
ENSG00000224818	-0.576043097492819	-1.80049630671028	0	0	EFM19_BREAST	BRCA	ENSG00000224818.EFM19_BREAST
ENSG00000224592	-0.688181252580214	-1.835679572277	0	0	EFM19_BREAST	BRCA	ENSG00000224592.EFM19_BREAST
ENSG00000268355	-0.588313564967902	-1.83905678837766	0	0	EFM19_BREAST	BRCA	ENSG00000268355.EFM19_BREAST
