cell_line	geneSet	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	cantype	comb	CCLE_name
ACH-000019	ENSG00000182165	-0.57286810194018	-1.55163410016916	0	0.000926536292389951	BRCA	ENSG00000182165.ACH-000019	MCF7_BREAST
ACH-000021	ENSG00000234546	-0.655018107823447	-1.61801188700687	0	0	LUAD	ENSG00000234546.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000225511	-0.672990426757948	-1.62804968495738	0	0	LUAD	ENSG00000225511.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000224818	-0.668229892392001	-1.65540977276345	0	0	LUAD	ENSG00000224818.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000224666	-0.749297884793855	-1.69219884416499	0	0	LUAD	ENSG00000224666.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000253878	-0.692210145468417	-1.71452518974686	0	0	LUAD	ENSG00000253878.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000262445	-0.701050590140749	-1.72283747034866	0	0	LUAD	ENSG00000262445.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000272081	-0.701599696163756	-1.73432593729085	0	0	LUAD	ENSG00000272081.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000248429	-0.723778033482231	-1.74415681993039	0	0	LUAD	ENSG00000248429.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000268355	-0.708972995142729	-1.75151605699718	0	0	LUAD	ENSG00000268355.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000268812	-0.708802306694163	-1.75213832805903	0	0	LUAD	ENSG00000268812.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000263718	-0.705787070597312	-1.75230959382727	0	0	LUAD	ENSG00000263718.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000204666	-0.72039413052489	-1.76378309307543	0	0	LUAD	ENSG00000204666.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000246640	-0.715117817459098	-1.77241795967035	0	0	LUAD	ENSG00000246640.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000268460	-0.744863736550934	-1.82050778026307	0	0	LUAD	ENSG00000268460.ACH-000021	NCIH1693_LUNG
ACH-000021	ENSG00000237886	-0.638846768144018	-1.58415037461133	0	0.000133436443312256	LUAD	ENSG00000237886.ACH-000021	NCIH1693_LUNG
ACH-000028	ENSG00000268460	-0.704720860368382	-1.64301801627451	0	0	BRCA	ENSG00000268460.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000248429	-0.659079220585725	-1.64512802842955	0	0	BRCA	ENSG00000248429.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000224592	-0.726023834941041	-1.65491393327424	0	0	BRCA	ENSG00000224592.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000253878	-0.672767593901329	-1.66776750020103	0	0	BRCA	ENSG00000253878.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000268355	-0.6790113133785	-1.6919447378995	0	0	BRCA	ENSG00000268355.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000246640	-0.685089561734337	-1.70663105210406	0	0	BRCA	ENSG00000246640.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000225511	-0.689756217325284	-1.71692049088172	0	0	BRCA	ENSG00000225511.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000234546	-0.690758614676656	-1.72174283868996	0	0	BRCA	ENSG00000234546.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000224818	-0.703181747436928	-1.75169460754774	0	0	BRCA	ENSG00000224818.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000226965	-0.634359261295342	-1.58008267489419	0	0.00030241935483871	BRCA	ENSG00000226965.ACH-000028	KPL1_BREAST
ACH-000028	ENSG00000230098	-0.60840315621178	-1.51260648410867	0	0.000924059139784946	BRCA	ENSG00000230098.ACH-000028	KPL1_BREAST
ACH-000029	ENSG00000268355	-0.713431673283152	-1.69192585165767	0	0	LUAD	ENSG00000268355.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000272081	-0.712577371088119	-1.69245383171	0	0	LUAD	ENSG00000272081.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000263718	-0.721054213024566	-1.71550639191204	0	0	LUAD	ENSG00000263718.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000268812	-0.727783339127288	-1.72634345784377	0	0	LUAD	ENSG00000268812.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000204666	-0.735492336757097	-1.73120420281922	0	0	LUAD	ENSG00000204666.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000246640	-0.735241706193769	-1.74666145301133	0	0	LUAD	ENSG00000246640.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000268460	-0.74719374031621	-1.74671668793922	0	0	LUAD	ENSG00000268460.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000237886	-0.653090109301813	-1.5527066475472	0	6.67121522250019e-05	LUAD	ENSG00000237886.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000224666	-0.71893277156962	-1.5557490611126	0.00101522842536525	7.14773059553592e-05	LUAD	ENSG00000224666.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000234546	-0.667779198701806	-1.58234011356442	0	7.69755602596176e-05	LUAD	ENSG00000234546.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000225511	-0.693088900951076	-1.60892174101715	0	8.33901902812524e-05	LUAD	ENSG00000225511.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000224818	-0.677065436167696	-1.61274481894248	0	9.09711166704571e-05	LUAD	ENSG00000224818.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000248429	-0.718344690671987	-1.66131577257857	0	0.000100068228337503	LUAD	ENSG00000248429.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000262445	-0.707034788116447	-1.66722546113471	0	0.000111186920375003	LUAD	ENSG00000262445.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000253878	-0.705287980778894	-1.6727715273999	0	0.000125085285421879	LUAD	ENSG00000253878.ACH-000029	HCC827GR5_LUNG
ACH-000029	ENSG00000182165	-0.599773186344876	-1.42659420955155	0	0.000941818619647086	LUAD	ENSG00000182165.ACH-000029	HCC827GR5_LUNG
ACH-000030	ENSG00000237886	-0.66842570550284	-1.56859829853272	0	0	LUAD	ENSG00000237886.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000234546	-0.680661343791047	-1.58955799583133	0	0	LUAD	ENSG00000234546.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000224818	-0.693412846704564	-1.62757419822636	0	0	LUAD	ENSG00000224818.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000225511	-0.710340434385023	-1.62888096199078	0	0	LUAD	ENSG00000225511.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000224666	-0.769738033915627	-1.64617545201362	0	0	LUAD	ENSG00000224666.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000262445	-0.719829955157728	-1.66997914925109	0	0	LUAD	ENSG00000262445.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000268355	-0.717322471297322	-1.67383159135743	0	0	LUAD	ENSG00000268355.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000272081	-0.724568024022454	-1.69436940671237	0	0	LUAD	ENSG00000272081.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000253878	-0.726005206613742	-1.70067512800421	0	0	LUAD	ENSG00000253878.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000268812	-0.727595857251463	-1.70282922512739	0	0	LUAD	ENSG00000268812.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000263718	-0.725320498573864	-1.70434267400624	0	0	LUAD	ENSG00000263718.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000248429	-0.751893618777429	-1.71739079889712	0	0	LUAD	ENSG00000248429.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000204666	-0.744936261329854	-1.7278391088391	0	0	LUAD	ENSG00000204666.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000268460	-0.755023179714848	-1.74947271764943	0	0	LUAD	ENSG00000268460.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000246640	-0.749387903756866	-1.75313843724344	0	0	LUAD	ENSG00000246640.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000270605	-0.611509972826625	-1.43598874839573	0	0.000437778586373146	LUAD	ENSG00000270605.ACH-000030	PC14_LUNG
ACH-000030	ENSG00000255400	-0.634414756415847	-1.41326825589181	0	0.000706331836837346	LUAD	ENSG00000255400.ACH-000030	PC14_LUNG
ACH-000047	ENSG00000237886	-0.746470100092813	-1.78806909635503	0	0	STAD	ENSG00000237886.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000248429	-0.771513666452767	-1.84801576233492	0	0	STAD	ENSG00000248429.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000272081	-0.711283107224496	-1.66262475579389	0	0.00013752131580395	STAD	ENSG00000272081.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000258602	-0.74183426814548	-1.71394183626586	0	0.000160441535104608	STAD	ENSG00000258602.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000182165	-0.724962411343041	-1.7241720303971	0	0.000192529842125529	STAD	ENSG00000182165.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000224818	-0.734110686378438	-1.73798113376451	0	0.000240662302656912	STAD	ENSG00000224818.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000253878	-0.733056220316311	-1.73951205875479	0	0.000320883070209216	STAD	ENSG00000253878.ACH-000047	GCIY_STOMACH
ACH-000047	ENSG00000255400	-0.737910064786715	-1.58012533750505	0.00103950103842048	0.000721986907970735	STAD	ENSG00000255400.ACH-000047	GCIY_STOMACH
ACH-000097	ENSG00000234546	-0.714511663373118	-1.66952178602991	0	0	BRCA	ENSG00000234546.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000224818	-0.716226901782081	-1.67862230169477	0	0	BRCA	ENSG00000224818.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000268355	-0.693864611303121	-1.62858868676253	0	0.000144084997619465	BRCA	ENSG00000268355.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000224592	-0.748200767536716	-1.63598593090406	0	0.000168099163889376	BRCA	ENSG00000224592.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000246640	-0.69969200675644	-1.6413421055219	0	0.000201718996667251	BRCA	ENSG00000246640.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000253878	-0.694353176363916	-1.62333422333212	0	0.000252148745834064	BRCA	ENSG00000253878.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000225511	-0.701490469041867	-1.64313469515648	0	0.000252148745834064	BRCA	ENSG00000225511.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000268460	-0.731467988683779	-1.64500146988558	0	0.000336198327778752	BRCA	ENSG00000268460.ACH-000097	ZR751_BREAST
ACH-000097	ENSG00000248429	-0.677736913059153	-1.59164146186987	0	0.000672396655557505	BRCA	ENSG00000248429.ACH-000097	ZR751_BREAST
ACH-000116	ENSG00000258602	-0.737376565832842	-1.65860687682327	0	0	OV	ENSG00000258602.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000237886	-0.726019465656813	-1.66959278657914	0	0	OV	ENSG00000237886.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000246640	-0.716559723279876	-1.69379586199525	0	0	OV	ENSG00000246640.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000253878	-0.726264857746408	-1.71216876483109	0	0	OV	ENSG00000253878.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000248100	-0.722917966061385	-1.72329317051513	0	0	OV	ENSG00000248100.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000268355	-0.739026108249155	-1.73927059749074	0	0	OV	ENSG00000268355.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000272081	-0.753610368154854	-1.74595928551085	0	0	OV	ENSG00000272081.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000268460	-0.740007608299262	-1.75168355897558	0	0	OV	ENSG00000268460.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000268812	-0.736555088651495	-1.75483504000377	0	0	OV	ENSG00000268812.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000248429	-0.749139365532362	-1.78510409366819	0	0	OV	ENSG00000248429.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000234546	-0.868005743706429	-1.96910892619005	0	0	OV	ENSG00000234546.ACH-000116	OAW28_OVARY
ACH-000116	ENSG00000224818	-0.69309594991917	-1.4978899343193	0.00510725229304673	0.000584180394905947	OV	ENSG00000224818.ACH-000116	OAW28_OVARY
ACH-000123	ENSG00000237886	-0.730123586759748	-1.68981224631173	0	0	OV	ENSG00000237886.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000258602	-0.746063510267671	-1.71831912865674	0	0	OV	ENSG00000258602.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000253878	-0.725679384589236	-1.75006540337427	0	0	OV	ENSG00000253878.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000246640	-0.725644637455456	-1.7561258202454	0	0	OV	ENSG00000246640.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000268355	-0.736058161276125	-1.77300993539056	0	0	OV	ENSG00000268355.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000248100	-0.73025547954611	-1.7750519938096	0	0	OV	ENSG00000248100.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000268460	-0.735752194087919	-1.7834421083363	0	0	OV	ENSG00000268460.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000272081	-0.754890006323098	-1.78603194784979	0	0	OV	ENSG00000272081.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000268812	-0.743274559158322	-1.81058598368786	0	0	OV	ENSG00000268812.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000248429	-0.756221790044788	-1.83848498131404	0	0	OV	ENSG00000248429.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000234546	-0.886852827163375	-2.03695789249351	0	0	OV	ENSG00000234546.ACH-000123	COV434_OVARY
ACH-000123	ENSG00000224818	-0.68154579088622	-1.50183647592105	0.0102564102458909	0.000834752412434472	OV	ENSG00000224818.ACH-000123	COV434_OVARY
ACH-000132	ENSG00000253878	-0.705463419860447	-1.76798852800306	0	0	OV	ENSG00000253878.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000246640	-0.708142972085376	-1.78816253562427	0	0	OV	ENSG00000246640.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000258602	-0.73899370422907	-1.80655322472656	0	0	OV	ENSG00000258602.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000268460	-0.714938738658518	-1.81594393617834	0	0	OV	ENSG00000268460.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000248100	-0.715087838889734	-1.8181722749581	0	0	OV	ENSG00000248100.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000268355	-0.723308791027056	-1.81840749616765	0	0	OV	ENSG00000268355.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000237886	-0.753868046556536	-1.8378089900805	0	0	OV	ENSG00000237886.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000268812	-0.724412298443322	-1.84319652261639	0	0	OV	ENSG00000268812.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000272081	-0.756576525726115	-1.85703249482447	0	0	OV	ENSG00000272081.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000248429	-0.734282461870504	-1.86488425371821	0	0	OV	ENSG00000248429.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000234546	-0.863674075082235	-2.02022861892125	0	0	OV	ENSG00000234546.ACH-000132	JHOS2_OVARY
ACH-000132	ENSG00000224818	-0.698086792545352	-1.59560184756806	0.00207684319618189	0.000167210099490009	OV	ENSG00000224818.ACH-000132	JHOS2_OVARY
ACH-000142	ENSG00000248429	-0.736564555025399	-1.82400444155219	0	0	BLCA	ENSG00000248429.ACH-000142	CAL29_URINARY_TRACT
ACH-000142	ENSG00000254951	-0.727932562140343	-1.83645778668473	0	0	BLCA	ENSG00000254951.ACH-000142	CAL29_URINARY_TRACT
ACH-000142	ENSG00000268460	-0.732735803802741	-1.66215265473347	0	0.000243810952738185	BLCA	ENSG00000268460.ACH-000142	CAL29_URINARY_TRACT
ACH-000142	ENSG00000225511	-0.673663980211798	-1.68498705041697	0	0.000325081270317579	BLCA	ENSG00000225511.ACH-000142	CAL29_URINARY_TRACT
ACH-000143	ENSG00000255400	-0.654536083297217	-1.58588163119011	0	0	LUAD	ENSG00000255400.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000237886	-0.633799621093384	-1.62070316066817	0	0	LUAD	ENSG00000237886.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000234546	-0.653336797165682	-1.66423176096839	0	0	LUAD	ENSG00000234546.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000224818	-0.669882276184	-1.7132439147033	0	0	LUAD	ENSG00000224818.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000224666	-0.748583744172008	-1.721713039372	0	0	LUAD	ENSG00000224666.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000262445	-0.691932351988874	-1.74198352003338	0	0	LUAD	ENSG00000262445.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000225511	-0.695841931556134	-1.74248764069198	0	0	LUAD	ENSG00000225511.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000253878	-0.692635946892994	-1.7644323957187	0	0	LUAD	ENSG00000253878.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000268355	-0.705483123125517	-1.78806059607251	0	0	LUAD	ENSG00000268355.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000272081	-0.703966886598098	-1.79097612624729	0	0	LUAD	ENSG00000272081.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000263718	-0.708456773669344	-1.81309324238126	0	0	LUAD	ENSG00000263718.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000268812	-0.712546015272893	-1.81655984067871	0	0	LUAD	ENSG00000268812.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000204666	-0.722407341363233	-1.82352232810048	0	0	LUAD	ENSG00000204666.ACH-000143	HCC2429_LUNG
ACH-000143	ENSG00000248429	-0.73992404293208	-1.84342896780686	0	0	LUAD	ENSG00000248429.ACH-000143	HCC2429_LUNG
